Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
17.10492,118.923025,5.53681,1.042977,0.118318,28.964524,1078.676657,3152.480087,83.97817,221.115385,954.571792,17.20173,7e-06,29.225706,0.0,2.64622,0.0,6.928113,4315.134914,1175.687177,4231.156744,22.738539,47.591903,6.75205,13.9935,0.08634,0.39811,9.66225,3.84662,0.02245,18.7752,16.0,31.0,4.0,45.0,2580.0,215.0,
17.755556,121.205841,5.529499,1.166334,0.119181,30.917724,1099.046177,3203.926905,86.794207,248.109033,915.964447,18.789483,1.6e-05,29.822543,0.0,2.670227,0.0,6.959031,4389.767289,1164.07348,4302.973082,24.318982,51.254389,7.182977,13.6673,0.07738,0.38559,9.56117,3.68671,0.02099,18.10343,,,,,,,
18.406193,91.157784,2.547589,2.123315,0.059624,14.969296,747.225917,2135.958012,68.468225,198.606601,326.335611,2.553733,4.2e-05,22.809013,0.0,2.982187,0.0,6.927798,2951.652154,524.942212,2883.183929,5.101322,17.776737,4.193838,12.865,0.07738,0.38559,9.56117,3.68671,0.02099,17.74462,,,,,,,
19.056829,94.376419,2.562034,2.094175,0.061331,18.065051,780.383375,2263.040491,71.484436,234.340309,313.404038,2.754402,0.000128,23.473026,0.0,2.994803,0.0,6.965264,3114.908303,547.744347,3043.423867,5.316437,21.090119,4.575412,12.1317,0.07738,0.38559,9.56117,3.68671,0.02099,17.74462,16.45,10.0,4.6,2.5,2580.0,215.0,
20.12956,96.668283,2.573093,2.551285,0.062643,21.569684,805.999695,2355.980195,74.000593,271.834572,292.665132,2.985682,0.000401,23.956734,0.0,3.004455,0.0,7.092009,3235.980484,564.499704,3161.979891,5.558775,24.844922,5.909188,11.1539,0.07498,0.15406,9.5672,1.47389,0.05087,17.05122,,,,,,,
21.624383,88.373472,2.413512,2.795367,0.043042,15.85202,702.30106,2210.73481,68.811952,230.69346,269.98867,2.335134,0.001267,21.791924,0.0,3.106951,0.0,7.234699,2981.847821,500.682129,2913.035869,4.748646,18.407665,7.652815,11.0856,0.07498,0.15406,9.5672,1.47389,0.05087,17.05122,,,,,,,
23.119207,89.271304,2.418581,2.820198,0.043638,15.986798,714.185978,2250.839029,69.818331,238.579077,269.098532,2.839025,0.003793,21.955092,0.0,3.111202,0.0,7.237545,3034.843338,507.677609,2965.025007,5.257606,19.085227,7.855444,11.1075,0.07498,0.15406,9.5672,1.47389,0.05087,16.71113,17.5,6.0,3.5,13.0,510.0,180.0,440.0
24.614031,89.770114,2.421599,2.957607,0.043992,15.963964,721.742359,2274.23606,70.35,245.080619,266.595214,3.459444,0.010567,22.046507,0.0,3.113676,0.0,7.241198,3066.32842,511.675833,2995.978419,5.881043,19.730317,8.027712,11.1462,0.07419,0.15335,9.56211,1.46639,0.05059,16.03093,14.6,8.2,5.9,18.8,380.0,160.0,480.0
26.108855,84.292144,2.334107,3.307364,0.040513,14.709489,683.050482,1962.241992,68.112679,232.217915,243.148172,3.615658,0.027007,21.267068,0.0,3.148083,0.0,7.235937,2713.405153,475.366087,2645.292474,5.949765,18.64045,6.847716,11.1542,0.07419,0.15335,9.56211,1.46639,0.05059,16.03093,13.3,28.2,4.7,14.0,310.0,190.0,280.0
27.603678,84.40298,2.33485,3.596866,0.040599,14.431486,685.845519,1968.194067,68.069182,237.2245,239.069842,4.411361,0.061585,21.293159,0.0,3.14867,0.0,7.240219,2722.108768,476.294342,2654.039586,6.74621,19.218709,6.977262,11.23,0.07419,0.15335,9.56211,1.46639,0.05059,15.68897,,,,,,,
29.098502,84.444095,2.335135,4.168728,0.040631,13.958873,687.743891,1970.969543,67.865382,242.329989,234.315,5.388657,0.127925,21.309312,0.0,3.148891,0.0,7.247714,2726.578817,476.644989,2658.713435,7.723793,19.7977,7.183125,11.3653,0.07376,0.15297,9.55932,1.46229,0.05044,15.00504,13.5,6.2,3.2,15.4,940.0,230.0,150.0
30.593326,49.050013,2.275002,5.289794,0.031727,10.683646,474.440979,856.327991,67.146772,137.557915,138.067282,5.82663,2e-06,13.084142,0.0,3.053835,0.0,7.143316,1397.915742,275.625197,1330.768969,8.101631,16.984827,2.390558,11.0163,0.07376,0.15297,9.55932,1.46229,0.05044,14.66204,,,,,,,
32.088149,49.053442,2.27503,5.541984,0.03173,9.713184,475.177364,856.195439,67.045705,140.24477,135.411816,7.08828,3e-06,13.08935,0.0,3.053853,0.0,7.175731,1398.418508,275.656586,1331.372803,9.36331,17.371903,2.56942,10.9898,0.07376,0.15297,9.55932,1.46229,0.05044,14.66204,13.1,15.0,6.25,8.6,450.0,160.0,180.0
33.582973,49.053984,2.275038,5.904458,0.03173,8.394423,475.873631,855.999614,66.930983,143.186933,132.476502,8.620217,5e-06,13.094918,0.0,3.053856,0.0,7.212935,1398.804228,275.663435,1331.873245,10.895255,17.701507,2.786867,10.9453,0.07155,0.77042,6.64787,5.12162,0.01397,13.97605,20.7,29.2,7.7,5.5,710.0,190.0,160.0
35.188219,32.5,2.159987,6.584007,0.018428,2.590267,241.214764,60.699393,37.873661,1.686927,133.307151,9.749925,7e-06,10.41706,0.0,2.963788,0.0,7.225863,339.787818,134.994077,301.914157,11.909912,13.099615,0.200465,10.7547,0.07155,0.77042,6.64787,5.12162,0.01397,12.55465,,,,,,,
36.903888,32.5,2.159987,6.470697,0.018428,2.595169,241.221587,60.692469,37.860161,1.693429,133.300663,9.751711,8e-06,10.417102,0.0,2.963788,0.0,7.225793,339.774217,134.994092,301.914056,11.911699,13.106439,0.200404,10.7545,0.07155,0.77042,6.64787,5.12162,0.01397,11.13324,,,,,,,
38.619557,32.5,2.159987,6.357311,0.018428,2.603127,241.243158,60.667769,37.844526,1.715607,133.278511,9.757379,1.7e-05,10.417142,0.0,2.963788,0.0,7.225495,339.755454,134.994118,301.910928,11.917366,13.120495,0.200168,10.7535,0.07155,0.77042,6.64787,5.12162,0.01397,9.71184,10.5,2.6,6.1,4.6,620.0,120.0,220.0
40.335226,32.5,2.159988,6.243609,0.018428,2.619317,241.3051,60.59427,37.82449,1.785606,133.208567,9.773725,6.1e-05,10.417183,0.0,2.963788,0.0,7.22455,339.723861,134.994173,301.899371,11.933713,13.154274,0.199443,10.7506,0.07155,0.77042,6.64787,5.12162,0.01397,8.29043,,,,,,,
42.050895,32.5,2.159988,6.12912,0.018428,2.656094,241.465123,60.402058,37.795078,1.989614,133.004683,9.816192,0.000295,10.417265,0.0,2.963788,0.0,7.221983,339.66226,134.994297,301.867181,11.97618,13.236745,0.197515,10.743,0.07155,0.77042,6.64787,5.12162,0.01397,8.29043,,,,,,,
43.766563,32.5,2.159988,6.013489,0.018428,2.739104,241.833002,59.95795,37.74707,2.538406,132.456162,9.914538,0.001533,10.417573,0.0,2.963788,0.0,7.215887,339.538022,134.994568,301.790952,12.074526,13.425575,0.193044,10.7245,0.07155,0.77042,6.64787,5.12162,0.01397,6.86903,,,,,,,
45.482232,32.5,2.159989,5.899355,0.018428,2.913587,242.576198,59.058102,37.666956,3.904392,131.09071,10.115199,0.008146,10.418756,0.0,2.963788,0.0,7.203396,339.301256,134.995102,301.6343,12.275188,13.81597,0.184178,10.6844,0.07155,0.77042,6.64787,5.12162,0.01397,5.44762,11.0,4.6,7.95,3.4,480.0,100.0,94.0
47.197901,32.5,2.159991,5.806099,0.018428,3.245495,243.877729,57.477827,37.541248,7.071395,127.924627,10.471541,0.043408,10.422643,0.0,2.963788,0.0,7.182122,338.896804,134.996023,301.355556,12.631532,14.531302,0.169653,10.6059,0.07155,0.77042,6.64787,5.12162,0.01397,4.02622,,,,,,,
48.91357,32.5,2.159994,5.826323,0.018428,3.81258,245.8285,55.100685,37.365776,13.989619,121.007756,11.016548,0.223708,10.433605,0.0,2.963788,0.0,7.154975,338.29496,134.997375,300.929185,13.176542,15.684814,0.151142,10.4655,0.07155,0.77042,6.64787,5.12162,0.01397,2.60482,,,,,,,
50.629239,32.5,2.159997,6.23295,0.018428,4.50057,247.771087,52.721314,37.198154,25.281436,109.717234,11.575746,0.873442,10.454871,0.0,2.963788,0.0,7.145865,337.690555,134.998671,300.492401,13.735743,16.974501,0.139603,10.2817,0.09159,0.79844,6.83631,5.45839,0.01678,0.0,10.0,14.4,8.05,5.5,300.0,50.0,135.0
51.487073,32.5,2.16,8.05,0.018428,5.5,250.0,50.0,37.0,47.0,88.0,12.24,3.238774,10.5,0.0,2.963788,0.0,7.21,337.0,135.0,300.0,14.4,18.688668,0.150049,10.0,0.09159,0.79844,6.83631,5.45839,0.01678,0.0,10.0,14.4,8.05,5.5,300.0,50.0,135.0
