Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,flow_obs,water_temp_c_obs,conductivity_obs,nitrate_obs,inorganic_phosphorus_obs,pathogen_obs,const_ii_obs,alkalinity_obs,pH_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
104.803797,417.301573,3.236879,5.430811,0.042647,14.186534,2215.963064,2436.256941,627.126601,119.436932,404.205517,14.224014,3.538233,41.606308,0.001285,2.898202,0.0,7.612983,5279.346606,523.64245,4652.220005,17.460893,29.53422,28.496574,15.7405,4.9059,0.45442,18.45752,8.38745,0.58491,20.36668,,,,,,,,,,,,,,,
108.914165,806.007716,5.482934,3.940688,0.070159,23.830531,3111.5185,4357.623278,1024.097255,154.091461,766.072672,22.741072,3.805973,67.712915,0.002874,3.442145,0.0,7.654244,8493.239034,920.164133,7469.141779,28.224006,48.370083,57.773235,16.1603,4.9059,0.45442,18.45752,8.38745,0.58491,20.36668,10.28926,18.7,530.0,2100.0,150.0,4.1604685311190375,2.8615344108590377,33.0,7.715,76.5,6.0,11.0,4400.0,1355.0,220.0
113.024533,806.20859,5.493884,3.943165,0.070256,23.725627,3116.574029,4361.835937,1025.785111,157.368086,763.713987,22.975818,3.814877,67.749595,0.003241,3.435065,0.0,7.621167,8504.195077,921.082072,7478.409966,28.469702,48.517863,53.958441,16.2398,4.9059,0.45442,18.45752,8.38745,0.58491,20.28535,,,,,,,,,,,,,,,
117.134901,806.826914,5.405854,3.956641,0.070394,23.630169,3123.793961,4368.525216,1028.04877,160.8618,761.982365,22.64952,3.826295,67.799487,0.003666,3.430554,0.0,7.584878,8520.367947,922.844165,7492.319177,28.055374,48.071446,50.069462,16.3238,4.90328,0.45435,18.45562,8.38533,0.58475,20.12266,,,,,,,,,,,,,,,
121.245269,807.013591,5.416325,3.984158,0.070492,23.522529,3129.47862,4373.324059,1029.674673,164.40011,759.965781,22.885197,3.836086,67.838074,0.00415,3.424452,0.0,7.545377,8532.477352,924.365891,7502.802679,28.301522,48.217494,46.120122,16.4146,4.89506,0.45414,18.44963,8.37866,0.58423,20.0413,10.7556,18.8,390.5,1200.0,200.0,4.682235356902564,4.243038048686294,39.17,7.6,46.75,6.0,20.0,5160.0,1545.0,280.0
125.355636,807.658726,5.216954,4.030921,0.070718,23.452674,3141.139675,4353.891413,1031.942408,165.905891,751.203027,21.922178,3.846685,67.885272,0.00471,3.419477,0.0,7.502648,8526.973496,917.108919,7495.031088,27.139132,47.111656,41.941624,16.5082,4.88323,0.45383,18.44101,8.36905,0.58349,19.95987,4.543,18.55,765.0,1363.8,280.0,5.032336659845735,4.731588765186738,58.18,7.6,81.2,5.255,11.15,7000.0,3921.5,380.0
129.466004,809.641466,4.792106,4.096959,0.070878,23.372324,3155.001322,4368.364225,1036.000289,169.939824,751.456997,19.668787,3.862601,67.966922,0.005348,3.41884,0.0,7.458699,8559.365836,921.396821,7523.365547,24.460893,44.606816,38.393247,16.6247,4.88323,0.45383,18.44101,8.36905,0.58349,19.95987,2.626,19.35,1155.0,1070.0,720.0,5.293804359919337,4.865103974641128,124.44,7.25,65.5,2.15,16.1,9700.0,7350.0,1030.0
133.576372,809.911102,4.774625,4.190992,0.070994,23.29531,3162.384633,4375.005257,1037.750259,173.896588,750.140702,19.720694,3.874236,68.017029,0.006056,3.414437,0.0,7.409746,8575.140148,924.037291,7537.38989,24.495319,44.58577,34.668942,16.7368,4.88349,0.45383,18.4412,8.36926,0.5835,19.87834,,,,,,,,,,,,,,,
136.671099,805.416725,4.709708,4.329263,0.066735,21.927171,3189.451903,4257.052062,1043.991717,165.158743,723.342075,19.447504,3.883795,67.624024,0.006893,3.405541,0.0,7.356286,8490.495682,888.500818,7446.503965,24.157212,42.91942,30.058729,16.8292,4.9099,0.83011,16.81314,13.95681,0.35179,19.7968,2.506,20.35,738.0,1454.0,720.0,5.12841542520604,4.44870631990508,95.17,7.35,57.0,3.1,20.0,9500.0,5550.0,1050.0
138.750186,934.903538,5.295189,3.914757,0.075551,24.079898,3504.641948,4908.470006,1164.826588,178.521526,838.213198,22.462681,3.885745,76.880479,0.008982,3.511425,0.0,7.320811,9577.938543,1016.734723,8413.111954,27.757871,48.325295,32.769853,17.1675,2.85359,0.65478,16.50397,10.80653,0.26406,19.6539,3.908,19.6,623.5,1990.0,250.0,4.970114322285097,4.170114969496652,47.5,7.71,104.5,4.62,28.0,1650.0,1000.0,460.0
140.829273,140.951947,2.987295,5.542862,0.028445,9.363539,2828.366109,1708.83285,1235.481276,62.458153,397.056228,7.438513,3.442978,25.708882,0.014681,3.070047,0.0,7.450957,5772.680236,459.51438,4537.198959,10.425808,17.395824,14.506197,16.3954,2.85359,0.65478,16.50397,10.80653,0.26406,19.6539,1.964,19.9,435.0,2100.0,150.0,3.7265642161622448,2.787531316127234,38.96,7.395,59.5,6.0,11.0,2580.0,625.0,150.0
142.908359,141.345466,3.009509,5.485614,0.028695,9.089198,2842.193646,1727.14893,1238.323106,64.147925,402.822728,7.903586,3.453811,25.813651,0.016721,3.063095,0.0,7.430465,5807.665682,466.970653,4569.342576,10.913094,17.622151,14.016938,16.4199,2.87013,0.65644,16.50723,10.83601,0.26487,19.56278,,,,,,,,,,,,,,,
144.987446,141.758573,3.03276,5.412014,0.028962,8.781879,2857.067775,1747.519845,1241.303743,65.956325,409.284537,8.400579,3.465166,25.926727,0.018996,3.056639,0.0,7.405241,5845.891363,475.240862,4604.58762,11.433339,17.849864,13.413634,16.4456,2.90809,0.66022,16.51465,10.90333,0.26672,19.38108,,,,,,,,,,,,,,,
147.066533,141.707335,3.042015,5.319851,0.027351,7.879357,2873.378093,1763.280116,1244.378615,66.049582,410.365702,8.838038,3.476065,26.030768,0.021484,3.049879,0.0,7.38045,5881.036824,476.415284,4636.658209,11.880053,17.416437,12.81414,16.4725,2.90809,0.66022,16.51465,10.90333,0.26672,19.38108,,,,,,,,,,,,,,,
149.14562,140.119756,3.182067,5.175034,0.02778,7.504289,2825.000668,1827.846318,1179.008597,69.666761,429.273747,9.630812,3.453677,25.501927,0.025443,3.050463,0.0,7.325497,5831.855582,498.940508,4652.846985,12.812879,17.894823,11.596873,16.3369,2.79332,0.6487,16.49193,10.69833,0.2611,19.19871,2.17,21.3,335.0,2270.0,150.0,3.7008334670285428,2.3968093725543818,36.9,7.53,46.5,5.0,6.0,2580.0,625.0,150.0
151.224706,140.48616,3.209556,5.00092,0.027933,7.012197,2844.170657,1853.080999,1182.710491,71.65488,437.683144,10.239742,3.465654,25.643528,0.02867,3.044173,0.0,7.281504,5879.962146,509.338024,4697.251656,13.449299,18.058093,10.647528,16.3588,2.85593,0.65502,16.50443,10.8107,0.26418,19.10654,,,,,,,,,,,,,,,
153.303793,141.024377,3.239498,4.78126,0.028297,6.54424,2863.687123,1883.857861,1186.49767,73.951203,447.416306,10.885324,3.478259,25.800823,0.032107,3.038764,0.0,7.232202,5934.042654,521.367509,4747.544984,14.124822,18.285146,9.684768,16.3816,2.85593,0.65502,16.50443,10.8107,0.26418,19.10654,,,,,,,,,,,,,,,
155.38288,141.595689,3.2712,4.501237,0.028686,6.029533,2884.286961,1917.150366,1190.517509,76.371665,457.898722,11.575572,3.491224,25.968748,0.035833,3.033512,0.0,7.177206,5991.954835,534.270387,4801.437327,14.846772,18.513535,8.704557,16.4055,2.88256,0.65768,16.50967,10.8581,0.26548,19.01545,,,,,,,,,,,,,,,
157.306722,142.193444,3.304293,4.149071,0.029096,5.471799,2905.671723,1952.513266,1194.744376,78.88235,468.977288,12.303766,3.504346,26.145014,0.039798,3.028435,0.0,7.117583,6052.929365,547.859638,4858.184989,15.608059,18.739747,7.747588,16.4303,2.93198,1.06933,14.37781,15.37469,0.1907,18.81748,2.21,20.1,305.0,1793.3,150.0,3.6148972160331345,3.3579443708978216,39.9,7.395,32.5,6.0,11.0,2000.0,865.0,184.0
159.075321,142.896468,3.345848,4.006749,0.02959,5.874969,2930.748787,1990.997236,1200.134268,85.036772,477.065333,12.555831,3.520027,26.336434,0.044921,3.022189,0.0,7.092574,6121.880291,562.102105,4921.746023,15.901679,19.414633,7.556103,16.6008,2.97051,1.07328,14.39438,15.44925,0.19228,18.71014,,,,,,,,,,,,,,,
160.84392,143.698631,3.390061,3.866993,0.030143,6.322694,2958.88592,2039.525842,1205.858513,93.992292,486.449185,12.81933,3.53628,26.586658,0.050385,3.016274,0.0,7.06774,6204.270275,580.441478,4998.411761,16.209391,20.146436,7.408948,16.7763,2.97051,1.07328,14.39438,15.44925,0.19228,18.71014,,,,,,,,,,,,,,,
162.612518,144.554759,3.437152,3.733011,0.030735,6.817653,2988.593317,2091.757308,1211.948036,104.054752,495.958028,13.095503,3.553146,26.854862,0.056273,3.010329,0.0,7.042177,6292.298661,600.01278,5080.350625,16.532655,20.939149,7.265378,16.9592,2.97322,1.07356,14.39553,15.45447,0.19239,18.60368,,,,,,,,,,,,,,,
164.381117,145.448037,3.486196,3.613333,0.031353,7.35458,3019.260384,2146.605588,1218.286549,115.154608,505.250438,13.379256,3.570286,27.135821,0.062465,3.004432,0.0,7.016388,6384.152521,620.405046,5165.865972,16.865452,21.782013,7.127678,17.1468,3.02077,1.07838,14.41569,15.5456,0.19432,18.49728,2.46,22.3,338.0,2800.0,180.0,4.238773501720696,3.280794553323749,34.27,7.21,33.0,4.225,6.0,2580.0,904.5000000000001,310.0
166.149715,146.393962,3.538047,3.513922,0.03201,7.947852,3051.412168,2204.96202,1224.985944,127.626017,514.326938,13.676076,3.588011,27.434518,0.06906,2.998441,0.0,6.989977,6481.360132,641.952956,5256.374188,17.214123,22.695319,6.993031,17.3419,3.02707,1.07902,14.41834,15.55762,0.19457,18.39193,,,,,,,,,,,,,,,
167.918314,146.424034,3.570097,3.401029,0.032924,8.63502,3140.744104,2309.921316,1211.52601,145.38865,533.985674,13.669856,3.610637,27.665766,0.078282,3.004002,0.0,6.965684,6662.19143,679.374324,5450.66542,17.239953,23.37671,7.025572,17.5258,3.0114,1.07744,14.41174,15.52772,0.19394,18.17957,,,,,,,,,,,,,,,
169.686913,147.49078,3.628409,3.3737,0.033666,9.362213,3176.31767,2376.189941,1219.007046,161.397166,542.148273,13.989847,3.629382,28.005969,0.085784,2.997667,0.0,6.939606,6771.514657,703.545439,5552.507611,17.618255,24.448953,6.915702,17.7371,3.0366,1.07997,14.42234,15.57575,0.19496,18.07402,,,,,,,,,,,,,,,
171.455511,148.60374,3.689177,3.420575,0.034439,10.168543,3213.163078,2445.452885,1226.759073,179.365524,549.328431,14.322861,3.648652,28.363015,0.093635,2.991219,0.0,6.913962,6885.375036,728.693955,5658.615963,18.012038,25.61438,6.820619,17.9558,3.0366,1.07997,14.42234,15.57575,0.19496,17.96903,,,,,,,,,,,,,,,
173.22411,149.763414,3.75243,3.581994,0.035246,11.071287,3251.313778,2517.708514,1234.726144,199.600947,555.226411,14.670048,3.668499,28.737783,0.101835,2.984638,0.0,6.889533,7003.748435,754.827359,5769.022292,18.422478,26.891504,6.752576,18.1839,3.0366,1.07997,14.42234,15.57575,0.19496,17.96903,,,,,,,,,,,,,,,
174.824426,150.785657,3.813046,3.920645,0.035949,12.051219,3292.21326,2593.820589,1243.386051,222.455618,559.734701,15.000273,3.690692,29.094204,0.110394,2.979419,0.0,6.950524,7129.4199,782.190319,5886.033849,18.81332,28.227462,8.14841,18.4306,3.00461,0.80692,10.68596,8.62277,0.34845,17.8167,2.64472,24.1,221.0,2500.0,300.0,4.134686992556854,4.637804828912615,23.4,7.26,44.0,4.2,12.0,4500.0,1000.0,390.0
176.256459,142.885145,3.800511,3.95054,0.035752,11.434879,3306.423169,2602.745782,1113.975687,203.188238,526.956065,15.434881,3.676085,28.529802,0.115515,2.949303,0.0,6.911126,7023.144638,730.144303,5909.168951,19.235392,28.078563,7.578214,18.6242,3.00461,0.80692,10.68596,8.62277,0.34845,17.8167,,,,,,,,,,,,,,,
177.688492,143.449007,3.831201,3.978242,0.036144,10.954593,3324.754511,2637.965394,1117.516669,212.550731,530.224193,16.197556,3.68558,28.711503,0.119519,2.946226,0.0,6.880679,7080.236575,742.774924,5962.719905,20.028757,28.419307,7.270766,18.8274,3.0562,0.8131,10.69582,8.69673,0.35142,17.76914,2.75,23.7,147.0,2130.0,190.0,3.2918792239146977,2.0060379549973173,24.42,7.0,31.5,5.15,11.0,2580.0,830.0000000000001,270.0
