Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
164.381117,110.512635,2.473722,0.036479,0.025341,12.350385,1684.611698,1544.039746,733.75255,295.863661,328.577316,9.188112,0.049164,25.328858,0.074379,2.801854,0.0,7.523333,3962.403994,624.440977,3228.651444,11.661835,22.262136,16.65654,17.3138,2.7143,1.04629,14.28032,14.94135,0.18166,23.12659,22.3,33.0,4.225,6.0,2580.0,904.5000000000001,310.0
166.149715,111.782366,2.541765,0.035022,0.026214,12.654588,1720.912524,1623.900266,745.657109,311.806169,339.798207,9.543922,0.069459,25.720876,0.08323,2.795235,0.0,7.490433,4090.4699,651.604376,3344.81279,12.085687,22.950061,16.094649,17.1709,2.72061,1.04698,14.28324,14.95421,0.18193,23.01391,,,,,,,
167.918314,113.136459,2.614383,0.033748,0.027146,12.9857,1759.659323,1709.184936,758.055337,328.886793,351.808351,9.91672,0.097111,26.140943,0.092713,2.788338,0.0,7.456194,4226.899596,680.695144,3468.844259,12.531103,23.683236,15.503578,17.0179,2.72061,1.04698,14.28324,14.95421,0.18193,22.78887,,,,,,,
169.686913,114.573336,2.691492,0.036708,0.028136,13.343064,1800.788355,1799.720521,770.933398,347.074486,364.585679,10.306274,0.136098,26.588424,0.102811,2.781131,0.0,7.420745,4371.442274,711.660165,3600.508876,12.997766,24.460751,14.884502,16.8544,3.05139,1.08146,14.42852,15.60383,0.19555,22.67636,,,,,,,
171.455511,114.06155,2.716889,0.030394,0.029155,13.851244,1856.706053,1913.47248,749.903275,373.750433,382.762174,10.259494,0.093344,26.89719,0.115281,2.779612,0.0,7.418427,4520.081808,756.512607,3770.178533,12.976383,24.919615,15.528978,16.6603,3.05139,1.08146,14.42852,15.60383,0.19555,22.57168,,,,,,,
173.22411,115.579844,2.79845,0.030132,0.030204,14.251696,1900.10645,2009.096236,762.610379,393.050983,396.304639,10.647689,0.134087,27.374343,0.125999,2.77212,0.0,7.385399,4671.813065,789.355622,3909.202686,13.446139,25.738813,14.928293,16.4909,3.05139,1.08146,14.42852,15.60383,0.19555,22.57168,,,,,,,
174.824426,116.972518,2.87848,0.060124,0.031166,14.63622,1946.397576,2109.93762,776.087291,413.452063,410.666666,11.017834,0.189412,27.838398,0.137283,2.765686,0.0,7.665763,4832.422486,824.118729,4056.335195,13.896313,26.522575,29.317174,16.3192,3.01931,0.80869,10.68879,8.64391,0.3493,22.41979,24.1,44.0,4.2,12.0,4500.0,1000.0,390.0
176.256459,109.909379,2.863085,0.057847,0.030988,14.684227,1947.938963,2124.571882,645.521308,395.026936,380.702242,10.836991,0.168611,27.357284,0.143174,2.733708,0.0,7.659861,4718.032154,775.729179,4072.510845,13.700076,26.375818,29.181847,16.3386,3.01931,0.80869,10.68879,8.64391,0.3493,22.41979,,,,,,,
177.688492,110.665796,2.903753,0.056039,0.031511,14.890174,1969.530258,2172.6569,651.030295,404.64291,387.489972,11.023367,0.202534,27.598718,0.14853,2.730005,0.0,7.638729,4793.217454,792.132882,4142.187158,13.92712,26.782828,28.542141,16.3878,3.0709,0.81484,10.69861,8.7177,0.35226,22.37234,23.7,31.5,5.15,11.0,2580.0,830.0000000000001,270.0
179.120525,111.053691,2.933255,0.055208,0.031565,14.961439,1970.860417,2195.848105,657.187695,406.978478,391.618859,11.141432,0.235765,27.565096,0.152676,2.724684,0.0,7.618338,4823.896217,798.597337,4166.708523,14.074688,26.981186,27.642899,16.4371,3.06981,0.81471,10.6984,8.71614,0.3522,22.32529,,,,,,,
180.552558,111.767587,2.975224,0.054424,0.032096,15.172341,1992.763058,2242.418602,662.495565,416.715423,397.987954,11.332666,0.278662,27.815814,0.158149,2.720773,0.0,7.595402,4897.677225,814.703377,4235.181659,14.30789,27.398386,26.8936,16.4886,3.05837,0.81335,10.69624,8.69983,0.35154,22.23118,,,,,,,
181.984591,110.750878,2.966597,0.052809,0.032483,15.362791,1990.43226,2282.261442,663.808839,427.360888,406.084694,11.214972,0.315836,28.023703,0.164491,2.716275,0.0,7.611747,4936.502541,833.445582,4272.693702,14.181569,27.462584,28.448581,16.5067,3.05878,0.8134,10.69631,8.70042,0.35157,22.18403,21.225,31.0,4.525,9.5,4200.0,750.0,630.0
183.416624,111.566127,3.010446,0.051299,0.033046,15.586453,2013.696122,2333.914029,669.746514,437.7518,413.391184,11.414105,0.370518,28.284007,0.170272,2.712292,0.0,7.586983,5017.356665,851.142984,4347.610151,14.424551,27.901077,27.609585,16.5612,3.05878,0.8134,10.69631,8.70042,0.35157,22.18403,,,,,,,
